Tour,Description,Price
     Tour de tapas por Barcelona   ,"   Patatas bravas, pan tumaca, croquetas, chorizo… Degusta una selección de tapas españolas en esta ruta gastronómica por los barrios más famosos de Barcelona: el Gótico, el Born y la Barceloneta. ", 14 € 
     Visita guiada por el Gran Teatro del Liceo   ,"   Recorre las principales salas del Gran Teatro del Liceo en una visita guiada en la que podrás acceder además al Círculo del Liceo, un exclusivo club repleto de obras de arte.   ", 20 € 
     Visita guiada por la Casa de les Punxes   ,   Descubre uno de los edificios más icónicos del modernismo catalán: la Casa de les Punxes. Adéntrate en esta obra de Cadafalch y degusta un rico desayuno. ¡En pleno centro de Barcelona!   , 16 € 
     Entrada para Gaudí Exhibition Center   ," Adéntrate en la mente del genio modernista Antonio Gaudí en esta exposición única que combina piezas originales, instalaciones audiovisuales y realidad virtual. ¡Imprescindible!   "," 12,5 € "
     Barcelona Night Card ¡Discotecas gratis!   ,   Con esta tarjeta podrás acceder de forma gratuita a los mejores clubes y discotecas de Barcelona. ¡Sáltate las colas y disfruta al máximo de la noche barcelonesa!   , 12 € 
     Entrada al Gran Teatro del Liceo   ,"   Puccini, Verdi, Mozart… El Gran Teatro de Liceo, la ópera de Barcelona, ha visto las grandes obras de los maestros de la música. ¡Visita su interior sin esperar colas!   ", 10 € 
     Paseo a caballo por Montserrat   ,   ¿Te apetece visitar Montserrat de una forma diferente? Únete a nuestro tour a caballo y disfruta del símbolo de Cataluña de una manera inolvidable. ¡Conectarás al máximo con la naturaleza!   , 9 € 
     Paseo en velero por Barcelona   ,   Recorre la costa de Barcelona y admira el skyline de la ciudad a bordo de un precioso velero. La mejor manera de disfrutar un día de sol y tranquilidad con unas vistas inmejorables.   , 89 € 
     Paseo en velero clásico al atardecer   ,   Vive una experiencia inolvidable navegando en un velero clásico de madera mientras se pone el sol sobre Barcelona. La mejor manera de terminar el día.   , 79 € 
     Tour de tapas por los mercados y bares de Barcelona   ,"   Sumérgete en la gastronomía catalana con este tour de tapas por los bares y mercados de Barcelona. Degustarás cava, cerveza y vino de la zona en pleno centro de la ciudad condal.   ", 89 € 
"     Excursión a Montserrat, Sitges y Bodegas Torres   ","   En esta excursión visitaremos las mejores bodegas de Cataluña, uno de los parajes naturales más visitados de España y un pintoresco pueblo de la costa mediterránea.   ", 76 € 
     Fiesta en catamarán Sensation Barcelona   ,"   Disfruta de una fiesta en un catamarán y pasa un día inolvidable con tus amigos en alta mar. Podréis tomar el sol, bañaros, bailar con la música del DJ y disfrutar de una barbacoa a bordo.  ", 90 € 
